Gene_Id,Hugo_Symbol,my_Id
11169,WDHD1,8783
1117,CHI3L2,925
11170,FAM107A,8784
11171,STRAP,8785
11173,ADAMTS7,8787
11176,BAZ2A,8789
11177,BAZ1A,8790
11178,LZTS1,8791
11179,ZNF277,8792
1118,CHIT1,926
11180,WDR6,8793
11181,TREH,8794
11182,SLC2A6,8795
11183,MAP4K5,8796
11184,MAP4K1,8797
11185,INMT,8798
11186,RASSF1,8799
11187,PKP3,8800
11188,NISCH,8801
11189,CELF3,8802
1119,CHKA,927
11190,CEP250,8803
11193,WBP4,8806
11194,ABCB8,8807
11196,SEC23IP,8808
11197,WIF1,8809
11198,SUPT16H,8810
11199,ANXA10,8811
112,ADCY6,94
1120,CHKB,928
11200,CHEK2,8812
11201,POLI,8813
11202,KLK8,8814
1121,CHM,929
11212,PLPBP,8817
11213,IRAK3,8818
11214,AKAP13,8819
11215,AKAP11,8820
11216,AKAP10,8821
11218,DDX20,8822
1122,CHML,930
11221,DUSP10,8824
11222,MRPL3,8825
11223,MST1L,8826
11224,RPL35,8827
11226,GALNT6,8828
11227,GALNT5,8829
11228,RASSF8,8830
1123,CHN1,931
11230,PRAF2,8831
11231,SEC63,8832
11232,POLG2,8833
11234,HPS5,8834
11235,PDCD10,8835
11236,RNF139,8836
11237,RNF24,8837
11238,CA5B,8838
112398,EGLN2,16946
112399,EGLN3,16947
1124,CHN2,932
11240,PADI2,8839
11243,PMF1,8840
11244,ZHX1,8841
112464,CAVIN3,16949
112476,PRRT2,16950
11248,NXPH3,8844
112483,SAT2,16952
112487,DTD2,16953
112495,GTF3C6,16954
11252,PACSIN2,8848
11253,MAN1B1,8849
11254,SLC6A14,8850
112574,SNX18,16955
11258,DCTN3,8853
11259,FILIP1L,8854
11260,XPOT,8855
11261,CHP1,8856
112611,RWDD2A,16958
112616,CMTM7,16959
11262,SP140,8857
11264,PXMP4,8858
11266,DUSP12,8859
11267,SNF8,8860
11269,DDX19B,8861
11270,NRM,8862
112714,TUBA3E,16961
112724,RDH13,16962
11273,ATXN2L,8864
11274,USP18,8865
11275,KLHL2,8866
112752,IFT43,16964
112755,STX1B,16965
11276,SYNRG,8867
11277,TREX1,8868
112770,GLMP,16966
11278,KLF12,8869
11279,KLF8,8870
1128,CHRM1,933
